lat,lon,label,demand,type
45.5017,-73.5673,Depot,0,depot
45.5088,-73.5540,S1,1,stop
45.4948,-73.5779,S2,1,stop
45.5122,-73.5547,S3,1,stop
45.5195,-73.6219,S4,1,stop
45.4312,-73.5934,S5,1,stop
45.5410,-73.6276,S6,1,stop
45.5042,-73.6143,S7,1,stop
45.5161,-73.5684,S8,1,stop
45.5284,-73.5972,S9,1,stop
45.4851,-73.5285,S10,1,stop
45.4475,-73.6821,S11,1,stop
45.5398,-73.5512,S12,1,stop
45.5583,-73.5519,S13,1,stop
45.6015,-73.6331,S14,1,stop
45.5020,-73.4474,S15,1,stop
45.4678,-73.7412,S16,1,stop
45.4278,-73.8341,S17,1,stop
45.4116,-73.6845,S18,1,stop
45.4897,-73.6231,S19,1,stop
