lat,lon,label,demand
45.5017,-73.5673,Depot,0
45.5088,-73.5540,Stop 1,1
45.4948,-73.5779,Stop 2,1
45.5122,-73.5547,Stop 3,1
45.5195,-73.6219,Stop 4,1
45.4312,-73.5934,Stop 5,1
45.5410,-73.6276,Stop 6,1
45.5042,-73.6143,Stop 7,1
45.5161,-73.5684,Stop 8,1
45.5284,-73.5972,Stop 9,1
45.4851,-73.5285,Stop 10,1
45.4475,-73.6821,Stop 11,1
45.5398,-73.5512,Stop 12,1
45.5583,-73.5519,Stop 13,1
45.6015,-73.6331,Stop 14,1
45.5020,-73.4474,Stop 15,1
45.4678,-73.7412,Stop 16,1
45.4278,-73.8341,Stop 17,1
45.4116,-73.6845,Stop 18,1
45.4897,-73.6231,Stop 19,1
